Code_Run_Date,Bioreactor,Day,Date,IGG--STATE_SP,DAILY_NORMALIZED_FEED--INPUT_REF,IGG--STATE_DATA,VCC--STATE_DATA,VIABILITY--STATE_DATA,LACTATE--STATE_DATA,OSMO--STATE_DATA,PCO2_AT_TEMP--STATE_DATA,DAILY_NORMALIZED_FEED--INPUT_DATA,TEMPERATURE--INPUT_DATA,PH_SETPOINT--INPUT_DATA,DO--INPUT_DATA,IGG--STATE_PRED,VCC--STATE_PRED,VIABILITY--STATE_PRED,LACTATE--STATE_PRED,OSMO--STATE_PRED,PCO2_AT_TEMP--STATE_PRED,IGG--STATE_EST,VCC--STATE_EST,VIABILITY--STATE_EST,LACTATE--STATE_EST,OSMO--STATE_EST,PCO2_AT_TEMP--STATE_EST,IGG--STATE_MOD,VCC--STATE_MOD,VIABILITY--STATE_MOD,LACTATE--STATE_MOD,OSMO--STATE_MOD,PCO2_AT_TEMP--STATE_MOD
2/22/2024,6,2,,997.91,0.008,,,,,,,0.00343503,34,7.2,0.5,1814.21067,23.74399403,100.078891,1.763959525,295.7331246,26.43362652,,,,,,,,,,,,
2/22/2024,7,2,,997.91,0.008,,,,,,,0.005467038,34,7.2,0.5,1508.030918,23.89976041,98.64097926,1.525594662,300.3963124,28.31540426,,,,,,,,,,,,
2/22/2024,8,2,,997.91,0.008,,,,,,,0.004693355,34,7.2,0.5,1621.209332,23.65720441,99.19098757,1.625619668,299.1217943,27.6722928,,,,,,,,,,,,
2/22/2024,9,2,,997.91,0.008,,,,,,,0.004976842,34,7.2,0.5,1525.249527,23.77425715,99.0507384,1.569462803,301.2107296,28.36901232,,,,,,,,,,,,
2/22/2024,10,2,,997.91,0.008,,,,,,,0.005344297,34,7.2,0.5,1490.192496,23.89777288,98.88959022,1.536752914,301.2172468,28.63631953,,,,,,,,,,,,
2/22/2024,11,2,,997.91,0.008,,,,,,,0.005651782,34,7.2,0.5,1516.21726,23.57194434,98.82268268,1.679394982,300.3647697,28.54798668,,,,,,,,,,,,
2/22/2024,12,2,,997.91,0.008,,,,,,,0.004914034,34,7.2,0.5,1610.113163,23.34518769,99.29630519,1.814431522,299.1573707,28.07812401,,,,,,,,,,,,
2/22/2024,13,2,,997.91,0.008,,,,,,,0.005778727,34,7.2,0.5,1513.395986,22.60911874,98.84675158,1.860486365,300.9660755,29.21102067,,,,,,,,,,,,
2/22/2024,14,2,,997.91,0.008,,,,,,,0.006391482,34,7.2,0.5,1536.356508,22.35887089,98.82312972,2.123386825,299.0807417,29.32883194,,,,,,,,,,,,
2/22/2024,15,2,,997.91,0.008,,,,,,,0.006212448,34,7.2,0.5,1426.501248,23.43058813,98.48536949,1.699988115,301.7216416,29.30772075,,,,,,,,,,,,
2/22/2024,16,2,,997.91,0.008,,,,,,,0.005605169,34,7.2,0.5,1564.877648,22.3269405,98.82748392,1.887020113,300.7775607,28.66017379,,,,,,,,,,,,
