,level_0,level_1,IGG,VCC,Osmolality,Glutamate,Ammonium,Normalized_Bolus_Feed,Temperature_setpoint,pH_setpoint
23,AR25-050-004,8,1458.8721376181775,8.233063398387944,294.722003916776,3.7353221691299,6.816884057958156,0.040546308,35.0,6.75
24,AR25-050-004,9,1883.115537550288,9.891314458558057,303.91030356835853,4.539014432573918,8.363665187404564,0.0,35.0,6.75
25,AR25-050-004,10,2318.939270164981,9.842120528653163,299.34449761140604,4.523717736814901,9.445723998950909,0.039521581,35.0,6.75
26,AR25-050-004,11,2756.256122534732,10.5892060501669,311.32745276607244,5.2850557358888315,11.25784835154465,0.0,35.0,6.75
27,AR25-050-004,12,3143.7276263934973,9.644583108435233,308.8105264838459,5.373144631184927,12.800320983597729,0.039120811,35.0,6.75
28,AR25-050-004,13,3465.327500359656,9.61203481683198,321.09868236414735,6.402559768744305,15.306504543159253,0.0,35.0,6.75
29,AR25-050-004,14,3668.758538874593,8.174476032049919,317.2803325890601,6.971340614391274,17.829099913756774,0.0,35.0,6.75
30,AR25-050-006,0,70.07595,0.829,331.0,3.27,0.81,0.0,38.0,6.75
31,AR25-050-006,1,99.03845811867295,1.588750517473385,335.295909674973,2.3208286851063726,1.1407892496966285,0.0,38.0,6.75
32,AR25-050-006,2,143.45323021405326,2.5251139929169417,329.198287111116,2.291404775498513,1.7451954371730463,0.0,38.0,6.75
33,AR25-050-006,3,236.41981106835397,3.671646649180493,320.50639185740897,2.5299533995588046,2.468623519629173,0.0,38.0,6.75
34,AR25-050-006,4,391.52802022864745,4.930839817689125,312.14181015195066,2.8072740863876535,3.2249207286608166,0.061181774,38.0,6.75
35,AR25-050-006,5,640.0123609716643,8.282456795816511,326.79983091578026,4.32595376785319,4.91542371228234,0.0,38.0,6.75
36,AR25-050-006,6,959.1260171271107,9.672453425796403,319.1206674089291,4.6104219261537915,5.76883698132588,0.058799257,38.0,6.75
37,AR25-050-006,7,1372.2020975450864,12.7250607039665,336.062324184367,5.9204684076450915,7.4265575656107305,0.0,38.0,6.75
38,AR25-050-006,8,1837.1003227709712,13.516617618255903,332.84724458333517,5.969331591459246,8.236679787694458,0.057243284,38.0,6.75
39,AR25-050-006,9,2357.3350795302335,15.590944813832083,353.95553868072204,7.0108139106188245,9.85260865595905,0.0,38.0,6.75
40,AR25-050-006,10,2875.130159133258,15.224086731180568,354.91598128355884,6.883849409808962,10.744695580058226,0.054836692,38.0,6.75
41,AR25-050-006,11,3380.732660453198,15.980403186929351,377.87457390881224,7.830602106099919,12.59461462297236,0.0,38.0,6.75
42,AR25-050-006,12,3810.852803546623,14.471221611536727,379.4984792772854,7.845747803486325,14.022073168503404,0.053010928,38.0,6.75
43,AR25-050-006,13,4154.644207427185,14.321799042145251,399.8578940911786,9.140690943265435,16.717437816906465,0.0,38.0,6.75
44,AR25-050-006,14,4355.686640091419,12.438889971706013,396.98432996259265,9.809439252191645,19.39191055519357,0.0,38.0,6.75
45,AR25-050-010,0,68.0871,0.796,333.0,3.0300000000000002,0.79,0.0,35.0,6.75
46,AR25-050-010,1,108.8912342100009,0.9321229668366725,336.14700658400267,1.788306086524852,0.8480282393061667,0.0,35.0,6.75
47,AR25-050-010,2,148.30592067165526,1.1936122498724577,328.4760206141415,1.4918653478378852,1.2015156544341141,0.0,35.0,6.75
48,AR25-050-010,3,218.51794395429525,1.6719464781076332,317.5225841877107,1.5059440879944868,1.7218144494350889,0.0,35.0,6.75
49,AR25-050-010,4,334.70732843610693,2.334378035338979,305.9858377695526,1.6173574617102189,2.346449443204149,0.064809551,35.0,6.75
50,AR25-050-010,5,534.089274520395,5.350921996812173,317.6988729172418,3.1168502052136153,4.051433134423492,0.0,35.0,6.75
51,AR25-050-010,6,799.7122453121383,6.491082187143363,304.57329696885836,3.3883496290864814,4.9712695749646105,0.062135499,35.0,6.75
52,AR25-050-010,7,1165.7367204845891,9.63319750109669,316.4341203550176,4.81777594985986,6.840266515867156,0.0,35.0,6.75
53,AR25-050-010,8,1598.4342093988382,10.646559730019353,306.266893001511,4.972922838951664,7.896709017940011,0.060822707,35.0,6.75
54,AR25-050-010,9,2112.4984514660605,13.269076992123495,321.64020812571044,6.216679336848056,9.863617520682189,0.0,35.0,6.75
55,AR25-050-010,10,2656.155919466834,13.49002893059261,315.8570512019893,6.218739313118364,11.075090636273512,0.05812175,35.0,6.75
56,AR25-050-010,11,3225.697361898452,15.004248852121817,334.23572597288376,7.320494560852044,13.268706005403699,0.0,35.0,6.75
57,AR25-050-010,12,3756.493388253237,14.107563098588894,331.3825841974381,7.360002114437964,14.934640649750865,0.05611617,35.0,6.75
58,AR25-050-010,13,4234.514579989986,14.515212202588994,350.1487866343763,8.649536317710321,17.823361883742383,0.0,35.0,6.75
59,AR25-050-010,14,4592.3153998469825,12.832305133380945,346.30301293771583,9.153289593770232,20.54461591349142,0.0,35.0,6.75
60,AR25-050-012,0,66.4305,0.4048,331.0,3.17,0.79,0.0,38.0,6.75
61,AR25-050-012,1,59.88889472228857,0.9348349164239999,337.1508861810593,2.1235890964332413,1.0459431860263961,0.0,38.0,6.75
62,AR25-050-012,2,52.237098899289876,1.6598247407803892,331.987388720911,2.0702788827966687,1.6049394090415383,0.0,38.0,6.75
63,AR25-050-012,3,78.9538648345593,2.652534884209705,323.6427866808867,2.32928756141385,2.310960616663717,0.0,38.0,6.75
64,AR25-050-012,4,156.50872298430102,3.84470821402391,315.1722543252617,2.6614103122036075,3.074577278138662,0.064809551,38.0,6.75
65,AR25-050-012,5,321.50939803427593,7.3605710446505865,330.6672801976566,4.337981024213521,4.844820457741235,0.0,38.0,6.75
66,AR25-050-012,6,554.4367197523354,8.919598677466556,322.2201870052478,4.727537290936505,5.730858798485611,0.062135499,38.0,6.75
67,AR25-050-012,7,885.0085626593653,12.352427983957945,339.7457005194763,6.205094910329855,7.4454727996712835,0.0,38.0,6.75
68,AR25-050-012,8,1273.5257086285665,13.489779927997603,336.2116174529524,6.333020965316015,8.21112674698678,0.060819462,38.0,6.75
69,AR25-050-012,9,1727.8164313901154,16.046293032425712,359.05198781740563,7.474777076619714,9.741847353274677,0.0,38.0,6.75
70,AR25-050-012,10,2189.2462146833745,16.008570441690022,361.3280780896906,7.306684472074693,10.369893801214596,0.058127677,38.0,6.75
71,AR25-050-012,11,2648.3338533746373,17.091537583632732,388.02343056306916,8.181390445524132,11.83690718089235,0.0,38.0,6.75
72,AR25-050-012,12,3036.934544163662,15.633151534709029,393.346177752421,7.950463343902785,12.640573352269088,0.056052709,38.0,6.75
73,AR25-050-012,13,3340.871075470875,15.408069487263795,419.7187619404949,8.93833602402161,14.538491522286302,0.0,38.0,6.75
74,AR25-050-012,14,3496.957500258321,13.099139098279464,422.5806442010228,9.121411958300804,16.146724759167956,0.0,38.0,6.75
75,AR25-050-015,0,66.30435,0.4048,333.0,3.15,0.8,0.0,35.0,6.75
76,AR25-050-015,1,76.33022266116647,0.3457975523463687,339.0570669741164,1.7035916310131347,0.7746018857600409,0.0,35.0,6.75
77,AR25-050-015,2,67.17677868729804,0.42448116595604213,332.42835789731254,1.3573750671684879,1.092131770816092,0.0,35.0,6.75
78,AR25-050-015,3,75.75131672743912,0.7810546858311479,321.6472741616387,1.3905900639851494,1.6118750082721927,0.0,35.0,6.75
79,AR25-050-015,4,121.01985310294124,1.4123494623367878,309.7592060268126,1.5622034096357518,2.264129185388525,0.060285563,35.0,6.75
80,AR25-050-015,5,242.07521829504986,4.345425350672509,319.2287358394803,3.052351566145369,3.9426289009762425,0.0,35.0,6.75
81,AR25-050-015,6,427.3266331145239,5.636004472664389,305.59253307435574,3.4102271405872133,4.892145080928398,0.058497537,35.0,6.75
82,AR25-050-015,7,712.3034585633193,8.88969734856611,315.7277026884418,4.851130057520558,6.711195272329075,0.0,35.0,6.75
83,AR25-050-015,8,1067.5473808525244,10.17778717398924,305.6679275974337,5.0642939144520085,7.711373584075451,0.057610673,35.0,6.75
84,AR25-050-015,9,1507.6150835510034,12.979390568919683,320.58918005884124,6.260774751039989,9.488535967442688,0.0,35.0,6.75
85,AR25-050-015,10,1982.1929407509963,13.437702208340026,316.47722378114423,6.213917601982737,10.433633709821073,0.055485253,35.0,6.75
