,Batch,Day,IGG,VCC,Viability,Glutamate,Ammonium,Normalized_Bolus_Feed,Temperature_setpoint,pH_setpoint
25,AR25-064-003,10,3533.8804045116485,15.588985769848454,93.91664025296713,5.6180640483111635,7.374609842057113,0.044808799,35.0,7.1
26,AR25-064-003,11,4230.470263974781,15.268105496147653,92.21105354332789,6.013233499660556,8.020837712330781,0.0,35.0,7.1
27,AR25-064-003,12,4955.812166687688,15.189213822897743,89.95552832801737,6.354737698085277,8.471615133641158,0.039221602,35.0,7.1
28,AR25-064-003,13,5728.683260500049,14.58787491078479,87.51773485204393,6.783594724918774,9.0235285100565,0.0,35.0,7.1
29,AR25-064-003,14,6549.294756905869,14.284566199259999,84.55244048584858,7.170172152356729,9.423500372475464,0.0,35.0,7.1
30,AR25-064-004,0,75.18855,0.6078999999999999,98.9,2.8099999999999996,0.69,0.0,36.5,7.1
31,AR25-064-004,1,2.704916772857542,3.2105318668734117,98.96152953879252,2.9364378129277635,1.169960015225915,0.0,36.5,7.1
32,AR25-064-004,2,40.859145288180954,5.729180172920809,99.05659180712846,3.12194338180461,1.7688386518285129,0.0,36.5,7.1
33,AR25-064-004,3,182.337014099487,8.107058940407509,99.09650992754175,3.368846124158338,2.4610034466866395,0.040728944,36.5,7.1
34,AR25-064-004,4,414.74661241047176,9.926032535401372,98.96238038791004,3.7849353260238487,3.3276052095611006,0.0,36.5,7.1
35,AR25-064-004,5,750.2688986693308,12.115264700941397,98.16111165644273,4.262669692291073,4.108934897309856,0.0,35.0,7.1
36,AR25-064-004,6,1329.7575339490586,14.06743459688877,97.38450724431944,4.56775224239083,4.851504850518651,0.051335778,35.0,7.1
37,AR25-064-004,7,1989.796119184024,15.144161950419797,96.73893414071117,4.95686354004336,5.788660301933903,0.0,35.0,7.1
38,AR25-064-004,8,2694.2724807004374,16.279873162796882,95.72625080909029,5.250194756424426,6.533474947960333,0.050502448,35.0,7.1
39,AR25-064-004,9,3431.0881120856066,16.42987514178053,94.73338736180331,5.6128146555096,7.391778720634058,0.0,35.0,7.1
40,AR25-064-004,10,4168.378516760981,16.586551032315437,93.261219658959,5.876218091365294,7.992946408619276,0.044401837,35.0,7.1
41,AR25-064-004,11,4904.2239052068135,15.853830835126175,91.69104315884708,6.198716308964447,8.641643534358959,0.0,35.0,7.1
42,AR25-064-004,12,5619.377646877937,15.168608565028334,89.58883199802385,6.4384511820299695,9.027912676208771,0.038753913,35.0,7.1
43,AR25-064-004,13,6323.840443302983,13.804078709163806,87.30310164287067,6.738981222030157,9.438103317422419,0.0,35.0,7.1
44,AR25-064-004,14,7013.676762855848,12.622035683332598,84.47677678190821,6.979253543775423,9.621716424069703,0.0,35.0,7.1
45,AR25-064-006,0,74.12251,1.1721,98.7,2.73,0.7,0.0,36.5,7.199999999999999
46,AR25-064-006,1,-11.006233667456872,3.6568592622774383,99.17118970569429,2.8033171655749833,1.2064466434317467,0.0,36.5,7.199999999999999
47,AR25-064-006,2,-19.406844300612015,5.922810211726825,99.68931825361814,2.9179279555884023,1.7869067453465135,0.0,36.5,7.199999999999999
48,AR25-064-006,3,35.89530297109088,7.936882983040215,100.1476213069069,3.0804842321900776,2.410479536388024,0.040733198,36.5,7.199999999999999
49,AR25-064-006,4,140.71734494165224,9.322950490237778,100.40821631656776,3.4056698650572512,3.1588382176567458,0.0,36.5,7.199999999999999
50,AR25-064-006,5,310.24361062598916,11.068492243872072,99.95981342940708,3.795046619843622,3.779384363676551,0.0,35.0,7.199999999999999
51,AR25-064-006,6,693.5963074638818,12.636282982815425,99.4786934390123,4.0250524503614145,4.332636114033955,0.051177607,35.0,7.199999999999999
52,AR25-064-006,7,1140.880423645581,13.465334354421291,99.06000659706142,4.363443150370873,5.071870823049974,0.0,35.0,7.199999999999999
53,AR25-064-006,8,1634.048732901425,14.560452732743002,98.20143645299339,4.642004669578444,5.636516228405844,0.050130441,35.0,7.199999999999999
54,AR25-064-006,9,2182.4410529518286,14.945214612908458,97.28952360572771,5.034301911552385,6.359115913357644,0.0,35.0,7.199999999999999
55,AR25-064-006,10,2777.3007681625313,15.648292054289431,95.8360457583098,5.379859728101144,6.9001413061251995,0.044216662,35.0,7.199999999999999
56,AR25-064-006,11,3439.1600615040156,15.796336646338233,94.23265695698309,5.839293458416117,7.588183280804095,0.0,35.0,7.199999999999999
57,AR25-064-006,12,4168.698416240123,16.308282178744633,92.06511723024244,6.270058586068302,8.134875185150323,0.038734668,35.0,7.199999999999999
58,AR25-064-006,13,4990.65299785651,16.41010223354482,89.70108274908253,6.809348982156958,8.837471744614453,0.0,35.0,7.199999999999999
59,AR25-064-006,14,5908.821085130697,16.87984189941661,86.80436478825219,7.3253013627505945,9.446462941752104,0.0,35.0,7.199999999999999
60,AR25-064-007,0,78.40981,1.2633,99.2,2.78,0.75,0.0,36.5,7.1
61,AR25-064-007,1,18.921914896562427,3.7493288586407068,99.49558906076301,2.8652759937911045,1.2614922657456182,0.0,36.5,7.1
62,AR25-064-007,2,41.561438458985904,6.022161322539652,99.83873301866805,2.9922115739938615,1.852161057727852,0.0,36.5,7.1
63,AR25-064-007,3,132.81251701286203,8.041256124999009,100.12594266617066,3.16604415567509,2.4901728163612593,0.040733198,36.5,7.1
64,AR25-064-007,4,277.2386713910944,9.421038968613084,100.22255181281808,3.4997519210419044,3.255293331718954,0.0,36.5,7.1
