Batch,Day,IGG,VCC,Viability,Diameter,Ammonium,Glutamate,Normalized_Bolus_Feed,Temperature,pH_setpoint
MPC25-001-008,0,75.02,0.5,98.6,15.44,0.73,2.79,0,36.5,7.3
MPC25-001-008,1,-29.94716902,1.643348696,99.03556353,15.33272593,1.395424612,3.056087036,0,36.5,7.3
MPC25-001-008,2,-80.45450744,3.173001737,99.51739782,15.42047675,2.115300136,3.318998379,0,36.5,7.3
MPC25-001-008,3,-47.86626862,5.060363817,100.0052096,15.63488737,2.873796213,3.798860422,0.032369717,36.5,7.3
MPC25-001-008,4,105.6405312,7.812527435,100.7157977,15.70811177,3.42688864,4.547770041,0,36.5,7.3
MPC25-001-008,5,413.5988945,10.81439012,101.0178245,15.89653312,4.003665173,5.541993937,0,36.5,7.3
MPC25-001-008,6,865.3637781,14.19514396,101.2064957,16.02342024,4.650077977,6.894418778,0.040602245,35,7.3
MPC25-001-008,7,1552.795334,16.97742981,101.2729774,15.78562601,5.050274832,7.236022468,0,35,7.3
MPC25-001-008,8,2270.539366,18.88396058,100.5802187,16.27874977,5.982047999,7.086266976,0.041278175,35,7.3
MPC25-001-008,9,3022.356717,20.47798827,99.85031087,16.97912567,7.127971546,7.034906044,0,35,7.3
MPC25-001-008,10,3855.509595,20.998732,98.40079513,17.96784095,8.661692688,7.440734523,0.037833861,35,7.3
MPC25-001-008,11,4772.68455,21.41424154,97.02813231,18.55391738,10.20105026,8.457309303,0,35,7.3
MPC25-001-008,12,5787.108329,21.25137917,95.10825699,18.96759775,11.93979968,9.738692897,0.034067647,35,7.3
MPC25-001-008,13,6860.401669,21.32029433,93.27450744,18.957196,13.630491,10.8681943,0,35,7.3
MPC25-001-008,14,7978.835232,20.93091472,90.82623496,19.09068527,15.51007754,11.36312734,0,35,7.3
MPC25-001-009,0,75.02,0.5,98.6,15.44,0.73,2.79,0,36.5,6.9
MPC25-001-009,1,-8.811538979,1.420820077,98.34631541,15.50931346,1.475644601,2.68614463,0,36.5,6.9
MPC25-001-009,2,-55.00872191,2.463635818,98.14744193,15.81831476,2.352804184,2.796351589,0,36.5,6.9
MPC25-001-009,3,-23.9041184,3.725562635,98.02049953,16.15359629,3.294979385,3.414668826,0.042434169,36.5,6.9
MPC25-001-009,4,126.7268591,6.004938732,98.30375043,16.13057993,3.966685885,4.468882013,0,35,6.9
MPC25-001-009,5,503.5533522,7.030434104,97.90065162,16.03857961,4.557425434,4.564490324,0,35,6.9
MPC25-001-009,6,861.8342844,7.63472146,97.35137085,16.35775108,5.518088831,4.388615188,0.053031757,35,6.9
MPC25-001-009,7,1239.074059,8.499227884,97.05693179,16.71024553,6.430135347,4.186106122,0,35,6.9
MPC25-001-009,8,1685.704819,8.626301688,96.05648888,17.41607548,7.544154199,4.167516482,0.053633643,35,6.9
MPC25-001-009,9,2204.950207,9.19490356,95.30838523,17.74513334,8.352150325,4.503244996,0,35,6.9
MPC25-001-009,10,2827.891714,9.342902125,93.83311414,18.09534626,9.11525039,4.954290465,0.048951202,35,6.9
MPC25-001-009,11,3524.683757,10.12545628,92.49244117,17.99641074,9.421025809,5.302775133,0,35,6.9
MPC25-001-009,12,4298.904014,10.56343061,90.29674034,18.04917089,9.553582864,5.158914877,0.0438877,35,6.9
MPC25-001-009,13,5113.4031,11.37702089,87.93570413,17.95215575,9.128183858,4.423594482,0,35,6.9
MPC25-001-009,14,5976.837119,11.53469156,84.46309354,18.19655651,8.305032019,3.002983524,0,35,6.9
MPC25-001-010,0,75.02,1.5,98.6,15.44,0.73,2.79,0,36.5,6.9
MPC25-001-010,1,62.17045891,2.801270473,98.2236,15.49701877,1.225749199,2.701689291,0,36.5,6.9
MPC25-001-010,2,95.01778761,4.195953602,97.83835117,15.77666174,1.822267622,2.820459915,0,36.5,6.9
MPC25-001-010,3,207.6147128,5.752109873,97.46271156,16.07511771,2.467703916,3.423240426,0.042434169,36.5,6.9
