,IGG,VCC,Viability,Diameter,Ammonium,Glutamate,Normalized_Bolus_Feed,Temperature,pH_setpoint
128,1685.7048191155266,8.626301688286974,96.05648887803251,17.416075484118743,7.5441541990316505,4.167516481843734,0.053633643,35.0,6.9
129,2204.9502072861533,9.19490356005917,95.3083852318512,17.74513334489981,8.352150324648447,4.503244995802417,0.0,35.0,6.9
130,2827.8917140564035,9.342902124516069,93.83311414130023,18.09534625523245,9.115250389678552,4.954290464949915,0.048951202,35.0,6.9
131,3524.6837570506395,10.12545627937915,92.49244116541927,17.996410737295527,9.421025808975504,5.302775133081729,0.0,35.0,6.9
132,4298.904014233102,10.563430608952432,90.29674033882654,18.049170892137262,9.553582864286968,5.158914877467043,0.0438877,35.0,6.9
133,5113.403099947398,11.377020886096807,87.93570413001142,17.952155754420907,9.128183857715367,4.423594481744379,0.0,35.0,6.9
134,5976.837118733318,11.534691562367282,84.46309354475098,18.19655651119521,8.305032019237057,3.0029835241806007,0.0,35.0,6.9
135,75.02,1.5,98.60000000000001,15.440000000000001,0.73,2.79,0.0,36.5,6.9
136,62.170458914730034,2.801270472734147,98.22359999518282,15.497018766521931,1.2257491985677138,2.701689290870525,0.0,36.5,6.9
137,95.01778761363913,4.195953602159716,97.83835117073625,15.776661738158614,1.8222676220792455,2.820459915353587,0.0,36.5,6.9
138,207.61471276337002,5.752109872814545,97.46271156360335,16.075117707010552,2.467703916343471,3.423240426344247,0.042434169,36.5,6.9
139,436.04135534754005,8.233710642244308,97.43923847546816,16.01842510033768,2.842804764423173,4.430604191101669,0.0,35.0,6.9
140,880.9770471405947,9.336342085960839,96.68033711700207,15.901674908302956,3.1520203627667143,4.452880290345594,0.0,35.0,6.9
141,1292.1186474586434,9.867575135847218,95.74080641046912,16.203529445220664,3.858414625917444,4.189471216442014,0.053031757,35.0,6.9
142,1701.7320061146097,10.495647283004791,95.0417348321617,16.53928932527253,4.553011167454776,3.897025403129032,0.0,35.0,6.9
143,2155.10876101189,10.2217292290579,93.64629405958324,17.221428704867538,5.494493744692382,3.7909539785349127,0.053633643,35.0,6.9
144,2650.386804556137,10.23295136618458,92.53869162662964,17.516122361043124,6.182463008138047,4.038013779453072,0.0,35.0,6.9
